Image,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: DAPI mean,Nucleus: DAPI sum,Nucleus: DAPI std dev,Nucleus: DAPI max,Nucleus: DAPI min,Nucleus: DAPI range,Nucleus: Opal 480 mean,Nucleus: Opal 480 sum,Nucleus: Opal 480 std dev,Nucleus: Opal 480 max,Nucleus: Opal 480 min,Nucleus: Opal 480 range,Nucleus: Opal 520 mean,Nucleus: Opal 520 sum,Nucleus: Opal 520 std dev,Nucleus: Opal 520 max,Nucleus: Opal 520 min,Nucleus: Opal 520 range,Nucleus: Opal 540 mean,Nucleus: Opal 540 sum,Nucleus: Opal 540 std dev,Nucleus: Opal 540 max,Nucleus: Opal 540 min,Nucleus: Opal 540 range,Nucleus: Opal 570 mean,Nucleus: Opal 570 sum,Nucleus: Opal 570 std dev,Nucleus: Opal 570 max,Nucleus: Opal 570 min,Nucleus: Opal 570 range,Nucleus: Opal 620 mean,Nucleus: Opal 620 sum,Nucleus: Opal 620 std dev,Nucleus: Opal 620 max,Nucleus: Opal 620 min,Nucleus: Opal 620 range,Nucleus: Opal 650 mean,Nucleus: Opal 650 sum,Nucleus: Opal 650 std dev,Nucleus: Opal 650 max,Nucleus: Opal 650 min,Nucleus: Opal 650 range,Nucleus: Opal 690 mean,Nucleus: Opal 690 sum,Nucleus: Opal 690 std dev,Nucleus: Opal 690 max,Nucleus: Opal 690 min,Nucleus: Opal 690 range,Nucleus: Opal 780 mean,Nucleus: Opal 780 sum,Nucleus: Opal 780 std dev,Nucleus: Opal 780 max,Nucleus: Opal 780 min,Nucleus: Opal 780 range,Nucleus: Autofluorescence mean,Nucleus: Autofluorescence sum,Nucleus: Autofluorescence std dev,Nucleus: Autofluorescence max,Nucleus: Autofluorescence min,Nucleus: Autofluorescence range,Cell: Area,Cell: Perimeter,Cell: Circularity,Cell: Max caliper,Cell: Min caliper,Cell: Eccentricity,Cell: DAPI mean,Cell: DAPI std dev,Cell: DAPI max,Cell: DAPI min,Cell: Opal 480 mean,Cell: Opal 480 std dev,Cell: Opal 480 max,Cell: Opal 480 min,Cell: Opal 520 mean,Cell: Opal 520 std dev,Cell: Opal 520 max,Cell: Opal 520 min,Cell: Opal 540 mean,Cell: Opal 540 std dev,Cell: Opal 540 max,Cell: Opal 540 min,Cell: Opal 570 mean,Cell: Opal 570 std dev,Cell: Opal 570 max,Cell: Opal 570 min,Cell: Opal 620 mean,Cell: Opal 620 std dev,Cell: Opal 620 max,Cell: Opal 620 min,Cell: Opal 650 mean,Cell: Opal 650 std dev,Cell: Opal 650 max,Cell: Opal 650 min,Cell: Opal 690 mean,Cell: Opal 690 std dev,Cell: Opal 690 max,Cell: Opal 690 min,Cell: Opal 780 mean,Cell: Opal 780 std dev,Cell: Opal 780 max,Cell: Opal 780 min,Cell: Autofluorescence mean,Cell: Autofluorescence std dev,Cell: Autofluorescence max,Cell: Autofluorescence min,Cytoplasm: DAPI mean,Cytoplasm: DAPI std dev,Cytoplasm: DAPI max,Cytoplasm: DAPI min,Cytoplasm: Opal 480 mean,Cytoplasm: Opal 480 std dev,Cytoplasm: Opal 480 max,Cytoplasm: Opal 480 min,Cytoplasm: Opal 520 mean,Cytoplasm: Opal 520 std dev,Cytoplasm: Opal 520 max,Cytoplasm: Opal 520 min,Cytoplasm: Opal 540 mean,Cytoplasm: Opal 540 std dev,Cytoplasm: Opal 540 max,Cytoplasm: Opal 540 min,Cytoplasm: Opal 570 mean,Cytoplasm: Opal 570 std dev,Cytoplasm: Opal 570 max,Cytoplasm: Opal 570 min,Cytoplasm: Opal 620 mean,Cytoplasm: Opal 620 std dev,Cytoplasm: Opal 620 max,Cytoplasm: Opal 620 min,Cytoplasm: Opal 650 mean,Cytoplasm: Opal 650 std dev,Cytoplasm: Opal 650 max,Cytoplasm: Opal 650 min,Cytoplasm: Opal 690 mean,Cytoplasm: Opal 690 std dev,Cytoplasm: Opal 690 max,Cytoplasm: Opal 690 min,Cytoplasm: Opal 780 mean,Cytoplasm: Opal 780 std dev,Cytoplasm: Opal 780 max,Cytoplasm: Opal 780 min,Cytoplasm: Autofluorescence mean,Cytoplasm: Autofluorescence std dev,Cytoplasm: Autofluorescence max,Cytoplasm: Autofluorescence min,Nucleus/Cell area ratio
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1018.5,694.71,18.75,15.6595,0.9608,5.4573,4.2023,0.6516,4.2556,327.6827,1.5051,7.8903,2.0502,5.8401,0.2439,18.7799,0.7808,5.383,0,5.383,0.0039,0.2995,0.0189,0.1237,0,0.1237,1.1674,89.8897,1.1563,4.1831,0,4.1831,1.4307,110.1629,0.2787,2.3064,1.0298,1.2766,1.3163,101.3561,0.2843,2.2506,0.8455,1.405,13.7339,1057.5127,1.6191,19.137,11.2318,7.9053,0.4137,31.8553,0.2511,1.0743,0.0128,1.0615,0.5673,43.6809,0.0531,0.688,0.4758,0.2122,13.8986,1070.1924,2.6735,19.8628,10.2563,9.6065,62.5,29.0827,0.9286,9.8536,7.5,0.6167,1.5446,2.0486,7.8903,0,1.9503,4.126,23.4129,0,0.0108,0.0537,0.463,0,1.5498,1.3426,6.6218,0,1.3882,0.3975,3.1309,0.0315,1.4783,0.3589,2.3558,0.8455,13.0152,2.3728,19.137,7.3443,0.4935,0.319,1.6028,0.0012,0.5885,0.0747,0.8187,0.4556,13.8161,3.3134,22.375,7.9198,0.3585,0.6409,3.1205,0,2.6969,4.7337,23.4129,0,0.0138,0.063,0.463,0,1.7172,1.3865,6.6218,0,1.3696,0.4389,3.1309,0.0315,1.5492,0.3658,2.3558,0.8893,12.7007,2.5773,18.8307,7.3443,0.5284,0.3393,1.6028,0.0012,0.5977,0.0807,0.8187,0.4556,13.78,3.5638,22.375,7.9198,0.2945
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1297.5,696.14,22.75,17.7051,0.912,6.3659,4.8737,0.5659,4.7201,443.691,1.3027,8.3525,1.8428,6.5097,0.0023,0.2145,0.0161,0.1344,0,0.1344,0.0066,0.6227,0.035,0.3021,0,0.3021,1.1632,109.3419,0.7129,3.5061,0,3.5061,1.8175,170.8423,0.3342,2.7753,1.0984,1.677,1.3881,130.4839,0.2601,2.1676,0.9511,1.2165,14.3948,1353.1115,1.7527,18.3352,11.0977,7.2374,0.3765,35.3893,0.2492,1.1464,0,1.1464,0.6868,64.5634,0.0688,0.8939,0.5813,0.3126,14.8444,1395.3772,2.782,22.2121,11.0329,11.1792,64.5,29.4478,0.9347,10.3599,7.7411,0.6079,2.0634,2.2954,8.3525,0,0.1039,0.3554,2.2459,0,0.0484,0.1143,0.9886,0,2.0071,1.548,6.9719,0,1.7279,0.3599,2.7753,0.6159,1.5755,0.3377,2.5815,0.9378,14.4094,1.8303,19.2482,10.9986,0.4088,0.2883,1.2521,0,0.7243,0.0847,0.9136,0.5103,14.7082,2.4821,22.2121,10.9094,0.5499,0.9883,3.9338,0,0.1618,0.435,2.2459,0,0.0721,0.1353,0.9886,0,2.4878,1.6855,6.9719,0,1.6769,0.3649,2.7161,0.6159,1.6822,0.3309,2.5815,0.9378,14.4177,1.8783,19.2482,10.9986,0.4272,0.3075,1.2521,0,0.7456,0.0857,0.9136,0.5103,14.6305,2.2993,22.174,10.9094,0.3359
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Astrocyte,PathAnnotationObject,Polygon,466.76,696.35,33.75,20.5858,1,6.7334,6.3598,0.195,11.736,1584.3625,3.7,21.6127,5.0487,16.564,0.2803,37.8456,0.8189,4.7836,0,4.7836,0,0,0,0,0,0,1.5796,213.2405,1.0198,4.7332,0.0009,4.7323,2.0677,279.144,0.3939,3.0261,1.1351,1.891,1.7168,231.7647,0.2773,2.606,1.0956,1.5104,15.1005,2038.5645,1.2323,17.6965,12.5768,5.1197,0.2901,39.1675,0.2938,1.4137,0,1.4137,0.9595,129.5279,0.0883,1.1508,0.7902,0.3606,18.9081,2552.5872,2.7678,25.3698,13.599,11.7708,84.5,33.1348,0.9672,11.0065,9.8526,0.3839,5.1605,5.9198,21.6127,0,0.5044,1.0678,5.9105,0,0.0534,0.1453,1.2738,0,1.7443,1.182,5.1309,0,2.0386,0.4485,3.2213,0.8964,1.8578,0.5174,3.2891,0.7372,14.4243,2.0809,20.1826,7.6799,0.2488,0.2735,1.4137,0,0.9385,0.1534,1.3046,0.5356,16.9992,3.9556,25.423,6.8297,0.8927,1.5923,6.1013,0,0.6498,1.1814,5.9105,0,0.088,0.1784,1.2738,0,1.8512,1.2672,5.1309,0,2.0197,0.4805,3.2213,0.8964,1.9494,0.6092,3.2891,0.7372,13.9854,2.3832,20.1826,7.6799,0.2219,0.2566,1.0718,0,0.9249,0.1826,1.3046,0.5356,15.7603,4.1198,25.423,6.8297,0.3783
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,543.25,697.23,33.5,20.8593,0.9675,7.347,5.8138,0.4809,4.053,551.2059,1.4183,8.7518,1.4917,7.2601,0,0,0,0,0,0,0.1203,16.3562,0.1634,0.6875,0,0.6875,1.9586,266.3751,0.9678,4.3447,0.155,4.1897,1.4462,196.683,0.3393,2.4461,0.7439,1.7021,1.722,234.1981,0.5586,3.6566,0.8389,2.8178,13.1227,1784.6912,2.3275,18.4753,9.7864,8.6889,0.8592,116.8506,0.5324,2.5812,0,2.5812,0.6037,82.1001,0.0665,0.7784,0.4602,0.3182,11.2975,1536.4564,1.5819,16.151,8.2821,7.8689,90.5,34.2538,0.9693,11.5171,9.6556,0.5003,1.7054,2.0562,8.7518,0,0.0983,0.3981,3.0435,0,0.3612,0.5529,3.1048,0,2.6178,1.3521,7.1544,0,1.5956,0.4085,2.9675,0.7439,2.5819,1.9363,11.9174,0.8389,12.4523,2.585,18.977,6.1853,1.0055,1.2411,9.4207,0,0.6539,0.0978,0.8524,0.3404,12.086,2.0816,18.6278,7.1452,0.305,0.5416,2.1977,0,0.1569,0.4942,3.0435,0,0.5049,0.6461,3.1048,0,3.0109,1.3967,7.1544,0,1.6847,0.4207,2.9675,0.757,3.0948,2.259,11.9174,1.1546,12.0524,2.6522,18.977,6.1853,1.0928,1.508,9.4207,0,0.6838,0.1013,0.8524,0.3404,12.5563,2.2013,18.6278,7.1452,0.3585
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,935.2,695.66,12.25,12.7584,0.9457,4.8722,3.356,0.7349,2.1062,111.6277,0.8127,3.5693,0.3301,3.2391,0,0,0,0,0,0,0.4964,26.3069,0.3083,1.342,0.0403,1.3017,1.2775,67.7075,1.1108,4.169,0,4.169,1.1604,61.4986,0.3747,1.9926,0.5688,1.4238,1.6702,88.5224,0.3433,2.5056,0.9672,1.5384,14.6591,776.9323,1.1026,17.411,12.2751,5.1359,0.6228,33.0081,0.4064,1.572,0.0056,1.5663,0.5545,29.3906,0.1161,0.7879,0.3991,0.3888,11.9214,631.8346,0.9962,14.7316,10.4003,4.3313,54.75,26.4585,0.9828,9.2039,7.5,0.5527,0.5384,0.9689,3.5693,0,0.1481,0.4574,2.7175,0,0.1962,0.2532,1.342,0,1.5511,1.5641,6.474,0,1.1471,0.3267,1.9926,0.4913,1.7428,0.4944,2.899,0.5462,13.0116,2.0708,17.411,8.1878,0.6391,0.4848,2.04,0,0.582,0.0991,0.7879,0.3991,10.8696,1.798,14.8158,6.4601,0.0496,0.1366,0.7007,0,0.1943,0.5155,2.7175,0,0.1027,0.1338,0.5528,0,1.6364,1.6742,6.474,0,1.143,0.3114,1.9799,0.4913,1.7655,0.5317,2.899,0.5462,12.498,2.0353,17.1968,8.1878,0.6442,0.5077,2.04,0,0.5905,0.0919,0.7783,0.4109,10.5417,1.8671,14.8158,6.4601,0.2203
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1288.4,698.65,61.5,30.1174,0.852,10.8761,8.1391,0.6843,7.7316,1963.8329,1.9364,15.6157,3.6455,11.9702,0,0,0,0,0,0,0.0011,0.2899,0.0123,0.183,0,0.183,0.0028,0.7139,0.0448,0.7139,0,0.7139,1.5288,388.3146,0.5104,3.0815,0.7645,2.317,1.2584,319.6313,0.2339,1.9462,0.796,1.1502,21.0788,5354.0234,3.3532,30.8762,15.0015,15.8747,1.6302,414.0672,0.7043,4.0584,0.1594,3.899,0.2763,70.1679,0.0987,0.623,0.148,0.4751,11.7561,2986.062,1.8578,17.1628,8.4191,8.7436,126.25,43.2534,0.848,15.2434,11.3528,0.7119,4.2643,3.9313,15.6157,0,0.0057,0.0631,0.846,0,0.0943,0.2627,1.5737,0,0.661,1.3156,6.2257,0,1.743,0.5661,3.4303,0.659,1.5082,0.4714,4.6316,0.7108,20.584,4.5876,30.8762,9.3115,1.6518,0.8933,6.997,0.0433,0.4277,0.1901,0.8738,0.148,12.7304,2.3177,19.9807,7.3098,0.8106,1.7827,9.4203,0,0.0115,0.0889,0.846,0,0.1871,0.3472,1.5737,0,1.3166,1.6109,6.2257,0,1.9564,0.5384,3.4303,0.659,1.7571,0.5152,4.6316,0.7108,20.0912,5.514,30.0815,9.3115,1.6734,1.0492,6.997,0.0433,0.5786,0.1295,0.8738,0.2076,13.7008,2.3262,19.9807,7.3098,0.4951
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1346.2,696.33,13.25,13.2594,0.9471,4.7693,3.6875,0.5315,1.8477,101.624,0.5884,2.7876,0.646,2.1416,0.0054,0.2976,0.026,0.1777,0,0.1777,0.0732,4.0244,0.1,0.3967,0,0.3967,2.687,147.7868,0.8238,5.4704,1.4275,4.0428,2.0588,113.2314,0.3405,2.7373,1.2114,1.5259,1.8597,102.2854,0.3235,2.5724,1.2388,1.3336,14.4918,797.0483,1.5988,17.8951,10.8753,7.0198,0.3261,17.9328,0.2729,1.1024,0,1.1024,0.8361,45.988,0.0754,0.9346,0.5783,0.3563,15.6937,863.1519,2.4894,19.4458,10.0649,9.3809,56.75,26.9008,0.9855,9.2195,7.8892,0.4794,0.4811,0.8324,2.7876,0,0.0028,0.0198,0.2078,0,0.1511,0.1926,1.0362,0,3.0669,1.2773,8.1041,0.2416,1.8198,0.369,2.9555,0.7106,2.0478,0.3811,3.1145,1.2388,14.3722,2.1282,20.1921,9.2339,0.2903,0.2486,1.231,0,0.85,0.1183,1.2038,0.5783,13.9678,2.3944,19.4458,9.1597,0.0491,0.1538,1.1515,0,0.002,0.0174,0.2078,0,0.1757,0.2079,1.0362,0,3.1869,1.3704,8.1041,0.2416,1.7443,0.3455,2.9555,0.7106,2.1073,0.3794,3.1145,1.3752,14.3345,2.2727,20.1921,9.2339,0.279,0.2401,1.231,0,0.8544,0.1288,1.2038,0.614,13.4223,2.0918,18.6903,9.1597,0.2281
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,514.12,696.78,21.75,17.4574,0.8968,6.3492,4.5063,0.7023,7.7759,715.3861,3.1405,15.2417,2.7132,12.5285,0.0586,5.3872,0.208,1.0952,0,1.0952,0.1622,14.9229,0.2168,0.7725,0,0.7725,3.929,361.4699,1.1921,7.1331,0.8718,6.2614,1.6358,150.4932,0.4251,2.5797,0.8508,1.7289,2.0325,186.994,0.3053,2.9584,1.5022,1.4561,18.4653,1698.8112,2.0562,24.4522,14.8201,9.6321,0.6469,59.5156,0.3934,1.9858,0.0242,1.9616,0.521,47.933,0.0691,0.6816,0.352,0.3297,17.7051,1628.8701,2.5278,23.4976,13.6099,9.8877,74.25,31.1861,0.9594,10.661,8.9167,0.5413,2.8051,3.8263,15.2417,0,0.2426,0.9695,8.6525,0,0.2461,0.3178,1.5642,0,4.8834,3.1322,15.171,0.1561,1.7942,0.4651,3.2322,0.6034,2.1964,0.5644,4.5178,1.0717,16.5069,2.424,24.4522,10.6426,0.4703,0.3476,1.9858,0,0.6099,0.0972,0.8776,0.352,16.8461,3.8796,26.6314,9.3328,0.6274,1.0717,4.059,0,0.3232,1.1461,8.6525,0,0.2828,0.3472,1.5642,0,5.3015,3.5963,15.171,0.1561,1.8635,0.4657,3.2322,0.6034,2.2682,0.6334,4.5178,1.0717,15.6489,2.0478,20.1481,10.6426,0.3929,0.2948,1.4472,0,0.6488,0.0807,0.8776,0.3859,16.4697,4.2928,26.6314,9.3328,0.2923
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",TAMM: Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,TAMM: Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1255.7,697.52,33.25,21.1775,0.9317,7.4072,5.9949,0.5674,4.6439,636.2116,1.3384,8.645,2.016,6.629,4.2375,580.5427,2.1957,9.4973,0,9.4973,2.0844,285.5683,1.3446,5.9482,0,5.9482,12.2979,1684.814,2.6169,23.3206,8.0546,15.266,0.0826,11.3133,0.1759,1.0452,0,1.0452,2.1601,295.9356,0.4908,3.1604,1.3161,1.8443,8.7389,1197.224,0.9347,11.3149,6.9025,4.4124,1.1275,154.4673,0.3687,2.2394,0.1114,2.128,0.3311,45.361,0.096,0.5893,0.1807,0.4086,40.8157,5591.7466,5.3598,62.0792,32.5826,29.4966,75.25,32.8953,0.8739,11.7496,7.6834,0.7722,2.5296,2.323,8.645,0,5.7602,4.123,18.3211,0,1.0396,1.3478,5.9482,0,14.1034,3.7235,23.9794,7.1084,0.2045,0.3801,2.1835,0,2.0192,0.4685,3.2925,0.6902,9.1435,1.2992,14.8259,6.3603,0.8368,0.4338,2.2394,0.0062,0.4557,0.1507,0.7576,0.1807,36.0964,8.3785,62.0792,18.4524,0.7951,1.291,5.5584,0,7.0093,4.8575,18.3211,0,0.1825,0.4412,2.2922,0,15.5846,3.8469,23.9794,7.1084,0.3045,0.4648,2.1835,0,1.9037,0.4165,3.2925,0.6902,9.4755,1.4557,14.8259,6.3603,0.5983,0.3244,1.7861,0.0062,0.558,0.1029,0.7576,0.2522,32.2249,8.4344,58.7159,18.4524,0.4443
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,985.47,698.43,32,21.2612,0.8896,7.7559,5.8191,0.6408,3.8277,501.4256,1.3054,7.8129,1.5422,6.2707,0.0028,0.3701,0.0261,0.288,0,0.288,0.0078,1.0258,0.0347,0.3026,0,0.3026,2.0861,273.2814,1.006,6.1411,0.1824,5.9587,1.1877,155.5838,0.2207,1.9866,0.5308,1.4558,2.1571,282.5777,0.3122,3.1046,1.4309,1.6737,13.1517,1722.8746,1.2325,15.3918,10.304,5.0878,0.7611,99.7,0.3181,1.6727,0.0434,1.6292,0.6304,82.5852,0.0784,0.8191,0.4748,0.3442,12.7055,1664.4229,1.6797,18.1372,10.0232,8.114,84,34.1154,0.907,12.2213,9.3424,0.6421,1.8334,1.9154,7.8129,0,0.0775,0.3202,2.7435,0,0.0171,0.0522,0.4348,0,2.5962,1.8081,8.6927,0,1.1892,0.2556,1.9866,0.3762,2.1424,0.4047,3.1581,0.9956,12.6033,1.6254,15.7707,8.2536,0.7099,0.3727,2.0703,0.0161,0.6415,0.0744,0.8191,0.4748,12.5815,2.3764,19.2428,8.4996,0.5652,0.8802,3.6831,0,0.1249,0.4022,2.7435,0,0.023,0.0601,0.4348,0,2.9205,2.1082,8.6927,0,1.1902,0.2761,1.8881,0.3762,2.1331,0.4543,3.1581,0.9956,12.2546,1.7471,15.7707,8.2536,0.6774,0.4009,2.0703,0.0161,0.6485,0.0711,0.8043,0.4862,12.5026,2.7296,19.2428,8.4996,0.3736
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Not-glioma cell: Endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,994.92,698.11,31.25,20.3196,0.9511,6.9418,5.7371,0.4747,5.4308,700.5715,1.812,9.2039,2.348,6.8559,0.001,0.1279,0.0113,0.1279,0,0.1279,1.271,163.9588,0.5297,2.6574,0.377,2.2804,3.9232,506.0926,1.0482,6.6638,1.6879,4.9759,1.0829,139.6926,0.3562,2.0667,0.2795,1.7872,5.2215,673.5767,1.5137,8.8697,3.2909,5.5788,9.7393,1256.3732,2.1424,13.7707,5.5944,8.1763,9.3804,1210.0754,1.5986,15.1805,4.312,10.8686,0.3768,48.6044,0.0581,0.5345,0.2509,0.2836,16.2829,2100.491,1.3398,20.0295,13.4889,6.5406,86.75,33.4188,0.9761,11.1329,10,0.3395,2.2048,2.7553,9.2039,0,0.0171,0.0913,0.881,0,1.1306,0.7226,2.6947,0,3.0819,1.3883,6.6638,0.0956,1.1674,0.3644,2.4026,0.2795,4.3552,1.7014,8.8697,0.9698,8.7992,2.9977,14.4988,3.5934,8.511,4.2873,16.2386,0.9239,0.4435,0.0993,0.7513,0.2509,14.338,2.4887,20.0295,7.0292,0.3132,0.6478,3.4572,0,0.0266,0.1137,0.881,0,1.0482,0.8045,2.6947,0,2.5885,1.3262,6.5892,0.0956,1.217,0.3607,2.4026,0.481,3.8472,1.5998,7.8185,0.9698,8.2479,3.2818,14.4988,3.5934,8.0013,5.197,16.2386,0.9239,0.4826,0.0977,0.7513,0.2914,13.1976,2.2931,17.8663,7.0292,0.3593
"Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1 - All classifiers applied",Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,Not-TAMM: Not-Ki-67: Not-leukocyte: Not-oligodendrocyte: Not-PVC: Glioma cell: Not-endothelial cell: Not-astrocyte,PathAnnotationObject,Polygon,1397.8,697.89,19.25,15.8541,0.9624,5.7835,4.2179,0.7065,3.0617,247.9943,0.6631,4.4285,1.4946,2.9338,0,0,0,0,0,0,0.0227,1.8402,0.0806,0.5667,0,0.5667,0.0975,7.8977,0.368,2.1711,0,2.1711,2.3509,190.4238,0.433,3.3872,1.5997,1.7874,1.614,130.7336,0.2871,2.2443,1.0068,1.2375,21.2489,1721.1613,2.0176,25.2214,16.1366,9.0848,0.6152,49.8315,0.5043,2.1406,0,2.1406,0.8305,67.2694,0.0903,0.9935,0.6325,0.361,13.1282,1063.3806,0.9753,15.3068,11.2739,4.033,58.25,28.508,0.9007,10.1903,7.0459,0.7104,1.153,1.4834,4.4285,0,0,0,0,0,0.1162,0.2582,1.4623,0,0.5947,1.2974,5.1041,0,2.3142,0.6002,3.9386,0.9893,1.6973,0.4251,3.1719,1.0068,20.9573,3.3724,29.7029,12.0956,0.5716,0.4808,2.1406,0,0.8171,0.0938,1.0405,0.6134,13.1263,1.6885,17.0396,9.1766,0.1556,0.4605,2.7145,0,0,0,0,0,0.165,0.3022,1.4623,0,0.8545,1.5167,5.1041,0,2.2951,0.6718,3.9386,0.9893,1.7408,0.4768,3.1719,1.0322,20.805,3.8951,29.7029,12.0956,0.5488,0.4682,2.1008,0,0.8101,0.0951,1.0405,0.6134,13.1253,1.9638,17.0396,9.1766,0.3179
