Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: DAPI mean	Nucleus: DAPI sum	Nucleus: DAPI std dev	Nucleus: DAPI max	Nucleus: DAPI min	Nucleus: DAPI range	Nucleus: Opal 480 mean	Nucleus: Opal 480 sum	Nucleus: Opal 480 std dev	Nucleus: Opal 480 max	Nucleus: Opal 480 min	Nucleus: Opal 480 range	Nucleus: Opal 520 mean	Nucleus: Opal 520 sum	Nucleus: Opal 520 std dev	Nucleus: Opal 520 max	Nucleus: Opal 520 min	Nucleus: Opal 520 range	Nucleus: Opal 540 mean	Nucleus: Opal 540 sum	Nucleus: Opal 540 std dev	Nucleus: Opal 540 max	Nucleus: Opal 540 min	Nucleus: Opal 540 range	Nucleus: Opal 570 mean	Nucleus: Opal 570 sum	Nucleus: Opal 570 std dev	Nucleus: Opal 570 max	Nucleus: Opal 570 min	Nucleus: Opal 570 range	Nucleus: Opal 620 mean	Nucleus: Opal 620 sum	Nucleus: Opal 620 std dev	Nucleus: Opal 620 max	Nucleus: Opal 620 min	Nucleus: Opal 620 range	Nucleus: Opal 650 mean	Nucleus: Opal 650 sum	Nucleus: Opal 650 std dev	Nucleus: Opal 650 max	Nucleus: Opal 650 min	Nucleus: Opal 650 range	Nucleus: Opal 690 mean	Nucleus: Opal 690 sum	Nucleus: Opal 690 std dev	Nucleus: Opal 690 max	Nucleus: Opal 690 min	Nucleus: Opal 690 range	Nucleus: Opal 780 mean	Nucleus: Opal 780 sum	Nucleus: Opal 780 std dev	Nucleus: Opal 780 max	Nucleus: Opal 780 min	Nucleus: Opal 780 range	Nucleus: Autoflourescence mean	Nucleus: Autoflourescence sum	Nucleus: Autoflourescence std dev	Nucleus: Autoflourescence max	Nucleus: Autoflourescence min	Nucleus: Autoflourescence range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: DAPI mean	Cell: DAPI std dev	Cell: DAPI max	Cell: DAPI min	Cell: Opal 480 mean	Cell: Opal 480 std dev	Cell: Opal 480 max	Cell: Opal 480 min	Cell: Opal 520 mean	Cell: Opal 520 std dev	Cell: Opal 520 max	Cell: Opal 520 min	Cell: Opal 540 mean	Cell: Opal 540 std dev	Cell: Opal 540 max	Cell: Opal 540 min	Cell: Opal 570 mean	Cell: Opal 570 std dev	Cell: Opal 570 max	Cell: Opal 570 min	Cell: Opal 620 mean	Cell: Opal 620 std dev	Cell: Opal 620 max	Cell: Opal 620 min	Cell: Opal 650 mean	Cell: Opal 650 std dev	Cell: Opal 650 max	Cell: Opal 650 min	Cell: Opal 690 mean	Cell: Opal 690 std dev	Cell: Opal 690 max	Cell: Opal 690 min	Cell: Opal 780 mean	Cell: Opal 780 std dev	Cell: Opal 780 max	Cell: Opal 780 min	Cell: Autoflourescence mean	Cell: Autoflourescence std dev	Cell: Autoflourescence max	Cell: Autoflourescence min	Cytoplasm: DAPI mean	Cytoplasm: DAPI std dev	Cytoplasm: DAPI max	Cytoplasm: DAPI min	Cytoplasm: Opal 480 mean	Cytoplasm: Opal 480 std dev	Cytoplasm: Opal 480 max	Cytoplasm: Opal 480 min	Cytoplasm: Opal 520 mean	Cytoplasm: Opal 520 std dev	Cytoplasm: Opal 520 max	Cytoplasm: Opal 520 min	Cytoplasm: Opal 540 mean	Cytoplasm: Opal 540 std dev	Cytoplasm: Opal 540 max	Cytoplasm: Opal 540 min	Cytoplasm: Opal 570 mean	Cytoplasm: Opal 570 std dev	Cytoplasm: Opal 570 max	Cytoplasm: Opal 570 min	Cytoplasm: Opal 620 mean	Cytoplasm: Opal 620 std dev	Cytoplasm: Opal 620 max	Cytoplasm: Opal 620 min	Cytoplasm: Opal 650 mean	Cytoplasm: Opal 650 std dev	Cytoplasm: Opal 650 max	Cytoplasm: Opal 650 min	Cytoplasm: Opal 690 mean	Cytoplasm: Opal 690 std dev	Cytoplasm: Opal 690 max	Cytoplasm: Opal 690 min	Cytoplasm: Opal 780 mean	Cytoplasm: Opal 780 std dev	Cytoplasm: Opal 780 max	Cytoplasm: Opal 780 min	Cytoplasm: Autoflourescence mean	Cytoplasm: Autoflourescence std dev	Cytoplasm: Autoflourescence max	Cytoplasm: Autoflourescence min	Nucleus/Cell area ratio	Distance to detection with Glioma µm	Distance to detection with PVC µm	Distance to detection with Endothelial µm	Distance to detection with Astrocyte µm	Distance to detection with Negative µm	Distance to detection with TAMM µm	Distance to detection with Oligodendrocyte µm	Delaunay: Num neighbors	Delaunay: Mean distance	Delaunay: Median distance	Delaunay: Max distance	Delaunay: Min distance	Delaunay: Mean triangle area	Delaunay: Max triangle area
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	1532d9fe-da8d-4a67-8849-57585c80ad0d	Glioma	Glioma	PathAnnotationObject	Polygon	700.24	637.5	24.5	20.6224	0.7239	7.7393	4.8973	0.7191	18.2014	1892.9421	6.5313	33.5044	6.2064	27.298	0	0	0	0	0	0	0.0049	0.5127	0.0357	0.3311	0	0.3311	0.1813	18.8586	0.5129	3.1101	0	3.1101	2.3629	245.7454	0.4145	3.6719	1.5758	2.0962	2.2121	230.0582	0.3635	3.2156	1.4209	1.7947	23.1223	2404.7202	3.0305	29.2319	14.2747	14.9573	0.0869	9.0364	0.1751	0.9241	0	0.9241	0.6695	69.6322	0.0961	0.9462	0.4749	0.4713	15.9112	1654.7664	1.4032	19.0576	12.1037	6.9539	77	32.6644	0.9069	11.5952	8.9478	0.6021	7.3907	8.8843	33.5044	0	0.0106	0.0944	1.0661	0	0.117	0.1973	1.1623	0	1.2163	1.509	5.948	0	1.9934	0.5278	3.6719	0.8116	2.0381	0.4423	3.2156	0.8177	18.2301	5.2949	29.2319	7.651	0.088	0.1547	0.9241	0	0.6864	0.109	0.9869	0.391	14.051	2.2991	19.0576	7.6884	1.9063	2.7975	10.4198	0	0.016	0.1156	1.0661	0	0.1739	0.2202	1.1623	0	1.7413	1.5755	5.948	0	1.8059	0.4784	2.9738	0.8116	1.9498	0.4531	3.0138	0.8177	15.7482	4.3932	28.2992	7.651	0.0885	0.1436	0.7877	0	0.6949	0.1142	0.9869	0.391	13.1073	2.0803	16.8971	7.6884	0.3273	0	19.3554	127.7107	19.5835	6.6793	36.0221	132.1152	7	15.7477	17.1262	22.7337	6.6805	94.7192	163.881
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	df73f200-aef3-4807-8af9-89fe60941fe2	TAMM	TAMM	PathAnnotationObject	Polygon	849.14	637.64	21.75	17.7588	0.8667	6.2185	4.6376	0.6519	4.095	360.3574	1.2327	6.6085	0.7779	5.8307	4.1343	363.8214	3.0078	9.8138	0	9.8138	0.0003	0.0237	0.0025	0.0237	0	0.0237	13.2242	1163.728	4.738	28.3124	7.6145	20.6978	2.8455	250.4046	0.7204	4.6998	0.7112	3.9886	1.7107	150.5439	0.3713	3.0659	0.8291	2.2368	8.2176	723.1444	1.7735	12.0851	4.9504	7.1347	0.0792	6.9683	0.1282	0.8534	0	0.8534	0.6122	53.8728	0.1088	0.9188	0.453	0.4658	28.6005	2516.8411	2.7575	34.1678	22.9783	11.1896	75.75	31.439	0.9631	10.6842	9.1581	0.4844	1.2733	1.9488	6.6085	0	2.138	2.6456	9.8138	0	0.0711	0.1619	0.7727	0	13.5488	6.5909	31.2651	0.5077	2.3329	0.9206	4.6998	0.0038	1.9665	0.4936	3.4193	0.5582	8.0597	2.0585	13.152	3.6991	0.1026	0.1468	0.8718	0	0.6228	0.1115	0.9188	0.3021	20.7434	6.781	34.1678	7.6123	0.1184	0.357	2.135	0	1.3208	1.9722	6.8265	0	0.1001	0.1847	0.7727	0	13.6816	7.2191	31.2651	0.5077	2.123	0.9125	4.0793	0.0038	2.0712	0.4999	3.4193	0.5582	7.9951	2.1649	13.152	3.6991	0.1122	0.153	0.8718	0	0.6271	0.1126	0.8369	0.3021	17.5275	5.1013	30.4052	7.6123	0.2771	14.6421	47.062	60.4675	58.9692	29.7523	0	27.4343	5	16.2355	15.0237	21.2511	14.2457	118.2874	170.0692
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	70153206-ca5e-43dd-88de-c1c6653b436d	Glioma	Glioma	PathAnnotationObject	Polygon	957.52	637.98	32.25	20.5535	0.9593	6.8766	6.0464	0.3503	8.1967	1090.1643	3.5314	21.343	2.8387	18.5043	0.0537	7.1368	0.2412	1.6439	0	1.6439	0.0001	0.0117	0.001	0.0117	0	0.0117	2.3617	314.1075	1.7544	7.8853	0	7.8853	1.7642	234.6322	0.534	3.1304	0.3027	2.8277	1.8863	250.8785	0.4517	3.208	0.8781	2.3299	16.8545	2241.6445	3.0048	25.0693	7.7028	17.3666	0.4282	56.9511	0.4028	1.843	0	1.843	0.6563	87.2853	0.2177	1.1914	0.3226	0.8688	15.4512	2055.0127	2.8813	23.8449	10.6818	13.1631	90	34.1492	0.9698	11.3338	10.0888	0.3472	3.259	4.3739	21.343	0	0.5511	1.197	7.0986	0	0.0124	0.0585	0.4381	0	4.147	4.2572	21.4949	0	1.378	0.636	3.1304	0	1.8429	0.514	3.208	0.7027	13.4936	4.8063	25.0693	4.4087	0.4309	0.4603	2.2127	0	0.6315	0.1891	1.1914	0.308	14.4798	4.0948	25.5775	5.9253	0.4161	0.9058	5.291	0	0.8374	1.4152	7.0986	0	0.0195	0.0725	0.4381	0	5.1749	4.8921	21.4949	0	1.1557	0.5821	3.0623	0	1.8178	0.546	2.94	0.7027	11.5585	4.5809	24.9813	4.4087	0.4324	0.4912	2.2127	0	0.6173	0.1693	1.0775	0.308	13.9205	4.565	25.5775	5.9253	0.3514	0	47.0622	42.9566	23.8499	34.5391	10.0355	100.206	7	20.8846	20.0864	29.6967	10.0298	157.9875	297.1479
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	6b97d2ac-79c4-4721-839a-7926f9c6d4c2	Glioma	Glioma	PathAnnotationObject	Polygon	471.9	640.12	68.5	29.7082	0.9753	9.8539	8.8482	0.4119	3.5153	970.2314	1.3355	7.7097	0.9929	6.7167	0.0757	20.8986	0.4241	4.1374	0	4.1374	0.0298	8.2124	0.0982	0.8629	0	0.8629	0.6153	169.814	1.1335	5.9163	0	5.9163	1.9138	528.2133	0.4498	3.2706	0.6138	2.6568	1.3801	380.9126	0.4787	3.4882	0.5792	2.909	16.7967	4635.8794	2.7311	24.3637	10.7744	13.5893	0.256	70.6509	0.26	1.2324	0	1.2324	0.5662	156.2578	0.1614	1.1116	0.2965	0.8151	14.1378	3902.0454	3.0198	23.222	8.4166	14.8054	147	43.3938	0.981	14.2683	13	0.3671	1.712	1.9433	7.7097	0	0.9031	2.7204	16.1101	0	0.1296	0.2546	1.6852	0	1.2307	1.4812	6.7098	0	1.8583	0.4774	3.8061	0.6138	1.5476	0.5739	3.4882	0.5792	15.7662	2.8197	24.3637	9.9673	0.1847	0.2307	1.2324	0	0.6874	0.2103	1.2977	0.2965	14.0773	2.7925	24.7208	8.4166	0.127	0.3898	2.2258	0	1.6303	3.5544	16.1101	0	0.2174	0.3114	1.6852	0	1.7717	1.5402	6.7098	0	1.8095	0.496	3.8061	0.7964	1.6948	0.6099	3.398	0.772	14.8605	2.5786	21.2807	9.9673	0.1221	0.1797	1.1014	0	0.794	0.1896	1.2977	0.3931	14.0241	2.5799	24.7208	8.4874	0.463	0	32.4905	82.6622	25.267	33.6259	79.6712	99.3116	5	19.3518	18.437	30.7042	13.3141	145.5517	294.166
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	7274c84e-7b29-4dda-a901-2f5019c4e005	Glioma	Glioma	PathAnnotationObject	Polygon	729.93	637.8	26.75	19.1395	0.9176	7.4297	4.4716	0.778	5.7116	628.2755	1.3732	8.3221	2.3242	5.9979	0	0	0	0	0	0	0.0312	3.4271	0.0925	0.6071	0	0.6071	0.0016	0.1805	0.0172	0.1805	0	0.1805	1.9288	212.1734	0.2836	2.5507	1.4096	1.1411	1.4088	154.9682	0.1665	1.7558	1.0086	0.7472	20.1705	2218.7593	2.2676	26.361	15.7652	10.5958	0.2118	23.2974	0.2539	1.1944	0	1.1944	0.4969	54.6552	0.1347	0.8072	0.2764	0.5308	11.3426	1247.6851	0.8377	13.598	9.6819	3.9161	68.75	31.4714	0.8723	11.7336	7.8668	0.7395	2.4934	2.8299	8.3221	0	0	0	0	0	0.1241	0.2218	1.1061	0	0.3101	0.7885	4.6257	0	2.0611	0.4332	3.3808	0.7656	1.5064	0.2949	2.9738	0.8132	19.5656	3.5482	26.361	9.7226	0.2067	0.2558	1.1944	0	0.5517	0.1629	1.1111	0.2764	11.4899	1.5266	15.914	7.227	0.3987	0.9128	4.3445	0	0	0	0	0	0.1846	0.2578	1.1061	0	0.5109	0.9622	4.6257	0	2.1472	0.4893	3.3808	0.7656	1.57	0.34	2.9738	0.8132	19.1718	4.1353	25.2761	9.7226	0.2034	0.2578	1.1074	0	0.5874	0.1699	1.1111	0.3212	11.5858	1.8378	15.914	7.227	0.3692	0	32.5041	101.7032	15.9141	28.7761	23.1838	109.2997	5	12.3643	13.3604	15.9209	5.7029	62.548	84.5533
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	5aef7e7f-8094-4d97-abae-795183e71345	Glioma	Glioma	PathAnnotationObject	Polygon	804	639.31	53.25	29.3895	0.7747	11.157	6.1559	0.8614	7.2574	1553.0909	2.1207	13.8418	2.5787	11.263	0	0	0	0	0	0	0.001	0.2245	0.0076	0.0721	0	0.0721	0	0	0	0	0	0	1.6006	342.5349	0.3744	3.2737	0.942	2.3317	1.4727	315.151	0.2525	2.3014	0.829	1.4724	23.6567	5062.5249	2.8474	30.4233	15.9884	14.4349	0.3022	64.6705	0.2773	1.2292	0	1.2292	0.3515	75.2308	0.1664	0.8516	0.1643	0.6872	11.0231	2358.9331	1.3382	15.6753	8.0294	7.6459	110.75	42.3683	0.7753	15.6529	9.1397	0.8594	4.1787	3.7113	13.8418	0	0.0078	0.0871	1.368	0	0.1345	0.2568	1.1091	0	0.5636	1.3759	7.6881	0	1.942	0.6125	4.3025	0.942	1.5828	0.3111	2.6456	0.829	22.234	4.5085	30.6503	9.8879	0.3112	0.3408	2.2965	0	0.4789	0.2076	0.922	0.1643	11.7099	1.9312	19.3443	8.0294	1.3265	2.3313	12.0533	0	0.0151	0.1206	1.368	0	0.2581	0.3088	1.1091	0	1.0857	1.7564	7.6881	0	2.2582	0.6209	4.3025	1.114	1.6848	0.3257	2.6456	1.0664	20.9161	5.3013	30.6503	9.8879	0.3196	0.391	2.2965	0	0.597	0.1688	0.922	0.2366	12.3462	2.167	19.3443	8.7776	0.4735	0	50.9515	55.2005	76.5361	16.4987	39.6232	48.4377	5	16.1668	16.4916	25.5756	7.1174	105.275	234.096
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	ad9f0166-3193-4955-8421-083fb2afe66f	Glioma	Glioma	PathAnnotationObject	Polygon	523.65	644.39	117.5	45.1218	0.7252	15.8227	10.6493	0.7548	6.9883	3298.4751	2.0414	14.6049	2.3659	12.239	0	0	0	0	0	0	0.7732	364.9545	1.9754	13.5024	0	13.5024	1.0992	518.8164	1.9023	9.7369	0	9.7369	1.7548	828.2524	0.7163	3.6548	0	3.6548	1.4303	675.1063	0.4275	2.7057	0.6297	2.076	17.1057	8073.8979	3.3608	25.0071	9.2684	15.7386	0.4114	194.179	0.3786	2.0307	0	2.0307	0.5665	267.3848	0.2562	1.2315	0.1919	1.0397	13.5831	6411.2046	3.8734	30.3442	6.8429	23.5013	217	56.9525	0.8407	20.4071	14.4466	0.7055	4.133	3.6097	14.6049	0	0.0131	0.1644	2.8562	0	1.4589	3.1256	14.2596	0	2.2742	2.5837	13.6496	0	1.6799	0.8484	4.3535	0	1.801	1.7832	22.8909	0.0715	15.5822	3.9025	25.0071	6.7096	0.4367	0.6925	7.4595	0	0.6341	0.2559	1.2315	0.1919	14.4048	4.8999	34.8354	6.8429	0.7383	1.5276	7.865	0	0.0286	0.2424	2.8562	0	2.2741	3.9428	14.2596	0	3.6712	2.5934	13.6496	0	1.591	0.9762	4.3535	0	2.2417	2.5287	22.8909	0.0715	13.7709	3.7273	24.5195	6.7096	0.4669	0.9376	7.4595	0	0.7145	0.2314	1.1756	0.2498	15.3818	5.7461	34.8354	7.0865	0.5369	0.01	37.8229	52.2207	38.5232	10.4815	59.4904	81.4056	6	22.2276	22.1816	32.7061	10.4782	180.5642	298.7548
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	d50bd8e3-7d8c-4681-a6f9-44ff5fbb0f95	Endothelial	Endothelial	PathAnnotationObject	Polygon	1282.5	641.18	34.5	27.7008	0.565	11.5117	4.2427	0.9395	12.964	1918.6742	4.5926	23.6336	3.7314	19.9022	0	0	0	0	0	0	1.8043	267.0413	0.9059	4.2788	0.12	4.1587	6.5445	968.5834	2.1079	11.3687	0.2391	11.1296	1.7854	264.2417	0.6301	4.4229	0.5574	3.8654	4.4373	656.7258	3.5559	17.4941	0.7562	16.7379	3.8476	569.4457	2.1948	8.6848	0.3747	8.31	18.7367	2773.0251	5.2031	34.7885	9.9464	24.8421	0.6432	95.1932	0.2249	1.1739	0.1838	0.9901	17.1517	2538.4543	4.0327	28.2114	11.1986	17.0128	89.25	37.1645	0.812	14.7877	8.172	0.8382	6.8078	6.4326	23.6336	0	0.0038	0.0303	0.3666	0	1.7611	1.0618	5.567	0.0063	5.0246	2.9563	13.4471	0.0196	1.8002	0.7277	4.4229	0.3676	6.1737	6.8671	28.9937	0.4244	3.9893	2.9944	12.8132	0.0977	14.5803	5.8646	34.7885	2.5397	0.6134	0.2373	1.1739	0.1812	14.8271	4.7532	28.2114	6.5708	2.5502	3.3207	13.4106	0	0.0063	0.0393	0.3666	0	1.7313	1.1585	5.567	0.0063	3.9734	3.0051	13.4471	0.0196	1.8104	0.7895	3.8563	0.3676	7.3745	8.2252	28.9937	0.4244	4.0874	3.4421	12.8132	0.0977	11.7058	4.3934	25.7897	2.5397	0.5929	0.244	1.0767	0.1812	13.2194	4.5516	22.1045	6.5708	0.3996	21.5156	7.1297	0	17.0008	13.8678	21.4588	74.8346	6	12.7739	11.9987	21.4558	7.1356	66.9977	125.2588
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	429dbd22-0282-4b55-bff7-a25fe3929b98	Glioma	Glioma	PathAnnotationObject	Polygon	1339	640.64	26	19.2989	0.8772	6.4827	5.4034	0.5749	5.8558	644.1413	2.6096	15.0092	1.9177	13.0915	0	0	0	0	0	0	0.0188	2.063	0.0825	0.5286	0	0.5286	1.304	143.4412	1.0896	4.2006	0	4.2006	2.0873	229.6045	0.4831	3.85	1.2846	2.5654	1.9467	214.1416	0.3843	2.8813	1.2227	1.6586	17.7402	1951.4166	2.5069	22.6365	12.536	10.1005	0.269	29.5875	0.3111	1.646	0	1.646	0.7649	84.1345	0.1324	1.2916	0.5383	0.7534	15.8761	1746.3658	1.8063	19.847	12.0929	7.7542	85	33.0544	0.9776	11.1009	9.5	0.4088	2.1135	3.0394	15.0092	0	0.0515	0.2547	2.0904	0	0.1007	0.1986	0.9618	0	1.7801	1.4162	6.1051	0	1.8896	0.4446	3.85	1.0032	1.9606	0.3648	3.3722	1.182	15.3117	3.0532	22.6365	8.286	0.2217	0.2698	1.646	0	0.7936	0.13	1.2916	0.5217	14.7582	2.2214	20.3562	8.8249	0.3315	0.7354	3.2905	0	0.076	0.3067	2.0904	0	0.1398	0.2244	0.9618	0	2.0068	1.4973	6.1051	0	1.7955	0.3925	3.1313	1.0032	1.9672	0.3557	3.3722	1.182	14.1553	2.5766	19.8049	8.286	0.1991	0.2452	1.1846	0	0.8073	0.1268	1.2737	0.5217	14.2259	2.206	20.3562	8.8249	0.314	0	44.3684	32.2711	34.3421	17.2581	35.6815	105.976	6	25.8811	27.5942	35.0304	13.4455	274.1205	519.0068
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	1820a439-3144-4d57-86d2-fd43e14057dd	Glioma	Glioma	PathAnnotationObject	Polygon	429.75	644.4	104.25	41.335	0.7667	14.3185	10.7357	0.664	6.7632	2840.532	2.6425	16.9838	2.1394	14.8443	0	0	0	0	0	0	0.0026	1.0809	0.0287	0.4494	0	0.4494	0.054	22.6788	0.3578	3.7141	0	3.7141	1.8264	767.0939	0.5329	3.2886	0.7096	2.5789	1.4595	613.0015	0.3026	2.2934	0.6432	1.6502	20.2451	8502.9551	3.8356	27.9235	9.9184	18.0051	0.3211	134.8688	0.253	1.1776	0	1.1776	0.4932	207.1646	0.1577	1.0065	0.2075	0.799	11.5984	4871.3325	2.1225	17.5317	6.2925	11.2392	209.5	53.723	0.9122	18.8803	15.0968	0.6168	3.6898	3.6903	16.9838	0	0	0	0	0	0.1068	0.2286	1.3709	0	0.6648	1.7656	12.1105	0	1.9666	0.5231	3.7267	0.7096	1.5908	0.3798	3.4231	0.6432	19.4639	4.182	27.9235	9.7676	0.2669	0.2509	1.2103	0	0.6088	0.1861	1.1395	0.2075	11.7979	2.1002	18.3937	6.2925	0.6016	1.1159	4.7679	0	0	0	0	0	0.2114	0.2866	1.3709	0	1.2785	2.3185	12.1105	0	2.1075	0.4734	3.7267	0.8032	1.7227	0.4035	3.4231	0.9154	18.679	4.3692	26.3848	9.7676	0.2123	0.2369	1.2103	0	0.7249	0.1326	1.1395	0.4614	11.9983	2.0607	18.3937	7.718	0.4983	0	65.7577	86.2644	64.1631	41.0232	73.7929	111.286	6	35.859	28.5703	86.6323	15.7213	252.8194	513.4217
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	22e6dcb1-664d-43d2-b5cc-5b6c4f9d925b	Glioma	Glioma	PathAnnotationObject	Polygon	717.07	641.76	34.25	21.3827	0.9413	7.2584	6.4001	0.4648	6.347	882.2348	2.1715	13.949	2.6424	11.3066	0.2465	34.2692	0.6125	3.7753	0	3.7753	0.0338	4.6966	0.0912	0.6337	0	0.6337	1.2263	170.4602	1.0772	3.6326	0	3.6326	2.0064	278.883	0.4545	3.0271	0.9715	2.0555	1.4907	207.2036	0.3114	2.4961	0.8704	1.6257	14.6249	2032.8652	1.607	18.3536	10.1906	8.163	0.0441	6.129	0.1018	0.6314	0	0.6314	0.6375	88.6152	0.0911	0.8972	0.4388	0.4584	16.3041	2266.2698	3.4856	24.6122	9.2992	15.313	95.5	35.2353	0.9666	12.019	10.5	0.3847	2.5414	3.2064	13.949	0	0.6443	1.3432	6.9197	0	0.1961	0.257	1.3196	0	1.9451	1.3255	7.3105	0	1.7727	0.4625	3.0271	0.677	1.4997	0.3224	2.4961	0.6639	12.6097	2.6458	18.3536	7.4976	0.0508	0.1239	1.1625	0	0.6393	0.0979	0.9204	0.3986	13.8069	3.8272	24.6122	7.2791	0.3912	0.7738	3.5317	0	0.869	1.5736	6.9197	0	0.2878	0.2747	1.3196	0	2.3512	1.2811	7.3105	0	1.6407	0.4128	2.8088	0.677	1.5048	0.3289	2.4531	0.6639	11.471	2.4313	16.9527	7.4976	0.0546	0.1349	1.1625	0	0.6402	0.1017	0.9204	0.3986	12.3959	3.2523	20.0597	7.2791	0.348	0	26.2147	114.5269	13.1715	15.4289	23.3776	116.6942	7	17.2954	15.4259	26.05	12.6275	98.3812	200.7332
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	c2339aec-149b-44d5-8c13-08c6316c2e37	Endothelial	Endothelial	PathAnnotationObject	Polygon	1167.8	639.96	16.75	14.8109	0.9595	5.4785	3.8318	0.7306	6.3958	434.912	1.8415	10.2104	2.2662	7.9442	0.0007	0.0462	0.0047	0.0383	0	0.0383	0.7455	50.6964	0.3441	1.5018	0.2318	1.27	2.2701	154.3675	0.7793	4.2585	0.6193	3.6392	1.115	75.8231	0.4554	2.3087	0.4659	1.8427	2.331	158.5057	2.3462	9.8044	0.6616	9.1428	2.0388	138.64	1.6117	6.2266	0.1129	6.1137	13.4911	917.392	2.142	18.6662	9.3843	9.2819	0.5979	40.6606	0.0833	0.807	0.3598	0.4472	10.9711	746.0354	1.9484	14.5156	7.5802	6.9354	57.25	27.5091	0.9507	9.8399	7.7782	0.6101	2.4873	2.9088	10.2104	0	0.0168	0.1175	1.2106	0	0.8897	0.5356	2.6492	0	1.9309	1.2953	5.8774	0	1.5878	0.5697	3.382	0.4659	4.092	3.2515	18.0915	0.6616	3.8159	3.1661	12.4438	0	12.7425	4.9316	21.7198	1.8225	0.6029	0.1273	0.9303	0.3092	11.616	2.2101	17.1689	7.2451	0.8568	1.2342	5.04	0	0.0235	0.1394	1.2106	0	0.9498	0.5881	2.6492	0	1.7894	1.4361	5.8774	0	1.785	0.4919	3.382	0.6697	4.8267	3.2998	18.0915	0.7055	4.5573	3.3584	12.4438	0	12.4303	5.6832	21.7198	1.8225	0.6049	0.1419	0.9303	0.3092	11.885	2.2622	17.1689	7.2451	0.2681	17.7838	7.1301	0	21.9968	10.7312	38.7347	26.2413	5	16.3775	20.613	22.0026	7.1277	100.1225	136.8273
Gbg LGG TMA 5 Panel 2_Core[1,9,D]_[11509,46099]_component_data.tif - resolution #1	e893a533-199e-40c5-be8b-9359fa723984	Glioma	Glioma	PathAnnotationObject	Polygon	834.83	640.9	14.25	13.6423	0.9622	4.8577	3.9818	0.4771	2.7419	169.9994	1.0746	4.7252	0.9469	3.7783	0.0694	4.3023	0.2539	1.5846	0	1.5846	0.195	12.0906	0.2607	1.1345	0	1.1345	1.4408	89.3298	1.0909	3.2436	0	3.2436	1.9306	119.6981	0.4366	3.3441	0.7915	2.5526	1.85	114.6995	0.3223	2.691	0.9588	1.7322	14.1279	875.9274	3.1429	21.318	8.5637	12.7543	0.0239	1.4825	0.0802	0.5201	0	0.5201	0.6231	38.6325	0.0887	0.791	0.4296	0.3614	12.7211	788.7105	2.2364	19.8052	8.8887	10.9165	59.25	27.4175	0.9905	9.2994	8	0.4129	0.7695	1.3051	4.7252	0	0.134	0.702	5.5635	0	0.3253	0.3757	1.7317	0	1.9838	2.329	12.7716	0	2.0058	0.6661	3.6883	0.3996	1.7501	0.5401	3.5834	0.2522	12.9659	5.4534	24.5009	2.2303	0.0659	0.1264	0.6514	0	0.6022	0.1575	0.8896	0.135	11.4091	3.188	20.1637	3.1603	0.0824	0.2537	1.3031	0	0.1565	0.8007	5.5635	0	0.3707	0.3989	1.7317	0	2.1729	2.6029	12.7716	0	2.032	0.7285	3.6883	0.3996	1.7153	0.5944	3.5834	0.2522	12.5612	6.0096	24.5009	2.2303	0.0805	0.1361	0.6514	0	0.5949	0.1749	0.8896	0.135	10.9521	3.3447	20.1637	3.1603	0.236	0	49.7024	58.0012	70.7381	16.7516	14.6421	26.0464	6	21.4314	19.062	32.751	13.3922	184.9393	421.9734
